,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
0,4.1362324,0.004257993,62.56717,0.26685223,-0.11470798,0.52422184,0.9798921,2.3742658e-05,0.0,0.0,6.390255578025972e-07,4.060618343177828e-07
1,4.132923,0.005320529,62.36077,0.33215532,-0.15896678,0.5330426,0.97987247,4.0594954e-05,0.0,0.0,1.1745648293981503e-06,8.017367736805113e-07
2,4.128376,0.007365261,62.078594,0.4574745,-0.18320528,0.5257339,0.979854,5.9964997e-05,0.0,0.0,9.481692515578288e-07,5.273929368502645e-07
3,4.122293,0.010507468,61.703754,0.64816463,-0.17438614,0.5000099,0.9798434,5.7296376e-05,0.0,0.0,6.888689227935174e-07,3.202490036583668e-07
4,4.1142864,0.014707203,61.21472,0.89939994,-0.17661819,0.52698565,0.9798297,5.2480573e-05,0.0,0.0,1.040584137967926e-06,7.078968683338756e-07
5,4.1035433,0.02045958,60.566338,1.2370006,-0.12947828,0.53827965,0.9798142,7.564726e-05,0.0,0.0,7.773947956479788e-07,3.955434181811703e-07
6,4.0891695,0.028732581,59.71336,1.7120178,-0.099227056,0.5129215,0.97980654,9.072401e-05,0.0,0.0,2.4444255899425116e-06,2.018800970493644e-06
7,4.0704556,0.03925074,58.625908,2.2964272,-0.13497764,0.51250166,0.9798002,0.000107811036,0.0,0.0,1.0242089274470345e-06,3.82073504323436e-07
8,4.0471344,0.0524451,57.306915,2.9982035,-0.12426038,0.5090231,0.9797859,0.000105108295,0.0,0.0,9.490317935956227e-07,4.061778325258149e-07
9,4.019323,0.06812336,55.784283,3.7861125,-0.013556674,0.5149198,0.9797771,0.00010377489,0.00390625,0.009021098,8.163677733818986e-07,2.2230837701048942e-07
10,3.9884434,0.08640121,54.158993,4.646074,0.0040003825,0.5142961,0.9797643,0.00012267679,0.0009765625,0.00390625,1.144678080322592e-06,6.276010499544715e-07
11,3.956585,0.105561815,52.549946,5.484767,-0.0013700686,0.5032397,0.9797445,0.00013977487,0.001953125,0.0053369533,1.0782599986214336e-06,4.4671633866142423e-07
12,3.9256845,0.12268381,51.04264,6.1721964,0.014385032,0.5058243,0.97973716,0.00014154497,0.005859375,0.00967405,1.5863177935671047e-06,6.196709570835665e-07
13,3.8964431,0.13964982,49.671432,6.785393,-0.009503695,0.5028625,0.97972196,0.00015236746,0.01171875,0.020963138,1.125064713392021e-06,3.775931109296619e-07
14,3.8685346,0.15679677,48.412746,7.339951,-0.0315927,0.5425786,0.9797106,0.00013505247,0.01171875,0.016634082,1.1994938091675067e-06,6.410824955378001e-07
15,3.842003,0.173209,47.255985,7.820693,-0.026086545,0.5116415,0.97969896,0.00014033869,0.0146484375,0.019321794,2.492810722287686e-06,2.0664136936681797e-06
16,3.8168082,0.18900141,46.192894,8.245591,0.017816305,0.51378375,0.9797012,0.00014408448,0.024414062,0.020546528,1.304720328221265e-06,4.6842267679915677e-07
17,3.793259,0.20286603,45.221897,8.58773,-0.006080037,0.5251969,0.9796839,0.00016493471,0.037109375,0.034646183,1.5425646893163503e-06,6.031240093811316e-07
18,3.7700412,0.21640371,44.28964,8.898806,-0.010427859,0.5305814,0.97968155,0.00017179796,0.041992188,0.039412495,1.907399834522039e-06,1.2680792706194515e-06
19,3.7470503,0.22790727,43.376553,9.133519,0.013485201,0.5182772,0.9796779,0.000178768,0.0390625,0.03952847,1.7631526105787998e-06,9.393828183822721e-07
20,3.7235918,0.23885629,42.463333,9.3458805,0.027737422,0.5244078,0.9796722,0.00016929643,0.033203125,0.026684768,1.2795744908089546e-06,6.377327951961608e-07
21,3.7008374,0.24954891,41.601044,9.549718,0.024481317,0.5242956,0.9796664,0.00016968844,0.041015625,0.04264795,1.6056584541956909e-06,8.340645678780764e-07
22,3.6787357,0.25995916,40.785133,9.746841,0.031277496,0.5045503,0.9796584,0.00019539832,0.036132812,0.03263531,1.7963820937438868e-06,9.209642149022227e-07
23,3.6572752,0.26979813,40.01018,9.92812,0.04286853,0.4862231,0.9796537,0.00018735626,0.03125,0.027362345,1.5850848882337232e-06,7.675772675226027e-07
24,3.6364338,0.2795958,39.276184,10.092896,0.06650322,0.47002828,0.9796557,0.00019589256,0.037109375,0.040293116,1.947547872305222e-06,1.079574592566428e-06
25,3.6168675,0.28875917,38.600937,10.228995,0.10945749,0.45036933,0.97965217,0.0001953394,0.051757812,0.031622134,2.08760621944748e-06,1.1536609933897318e-06
26,3.5983362,0.2976932,37.975956,10.350781,0.091954194,0.46367306,0.97963005,0.00020467231,0.032226562,0.033979136,3.4274763152097876e-06,1.9878709047563047e-06
27,3.5809062,0.30609092,37.398502,10.450021,0.08119652,0.46272027,0.97963,0.0002249036,0.040039062,0.03123372,2.068361439455657e-06,1.0027278554847585e-06
28,3.5643191,0.3142356,36.859188,10.533011,0.12015158,0.46250996,0.97961867,0.00020864164,0.0390625,0.035630483,2.2775925856421964e-06,9.238357523832565e-07
29,3.5484452,0.32248738,36.352787,10.591218,0.09428663,0.48684102,0.9796104,0.00020421558,0.045898438,0.039721012,1.8219333526303672e-06,1.0098260754609675e-06
30,3.534192,0.33059043,35.911503,10.656969,0.10086597,0.4755089,0.9796095,0.00020115662,0.030273438,0.022439698,2.401738058210867e-06,1.3354456543434144e-06
