model,topk_frac,deletion_top_mean,deletion_random_mean,insertion_top_mean,insertion_random_mean,deletion_top_std,deletion_random_std,insertion_top_std,insertion_random_std
baseline,0.1,0.09482816591237982,0.02605083049274981,0.14570465055294335,0.0949485531503645,0.021062221476451794,0.014231178381877463,0.00614227663998459,0.010615665061107659
baseline,0.2,0.20818938097606102,0.05798687071849903,0.2971471653630336,0.16975907903785506,0.0215662887164249,0.02499697740044494,0.054793047404408726,0.01790292015908413
baseline,0.3,0.3430510262648265,0.10882066430834432,0.4573050048202276,0.3013979395230611,0.03363980306106281,0.029990791042288516,0.0507026113444744,0.04148443617823078
svda,0.1,0.08223822449023525,0.034703777792553105,0.12886913541782027,0.07082345004406913,0.0261684994792587,0.007661230963159005,0.01721402507187347,0.022086476376420687
svda,0.2,0.2264534831047058,0.09299017349258065,0.23884355381596833,0.14787657074824287,0.02749751414513146,0.02053226930185359,0.0191877982418507,0.024328161820338125
svda,0.3,0.36888913934429485,0.12191940642272432,0.3465431866546472,0.23183097519601384,0.008751898912565476,0.026367827801199596,0.04062326611084835,0.02830154446529456
