,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
30,3.2934244,0.3584721,28.426931,8.809761,-0.28765512,0.54043514,0.9986277,7.225223e-05,0.14583333,0.112833865,2.9234771492525624e-08,1.1630551326658939e-08
31,3.2823186,0.36512902,28.164524,8.855036,-0.2398878,0.55419,0.99862516,7.3454685e-05,0.12760417,0.097085714,2.8127416562551133e-08,1.0711405621300716e-08
32,3.2718635,0.37133947,27.921219,8.905363,-0.274529,0.5416433,0.99862367,7.427305e-05,0.12630208,0.11648516,3.263581127566084e-08,1.3667461574727352e-08
33,3.2624245,0.37654808,27.701801,8.948481,-0.25629625,0.532551,0.9986195,7.7798184e-05,0.16015625,0.14745502,3.268308451653823e-08,1.2700059005981702e-08
34,3.2534676,0.3814321,27.496025,8.992917,-0.2659143,0.53220236,0.9986167,8.096297e-05,0.12890625,0.08647507,3.410160631656112e-08,1.3510225444478675e-08
35,3.2451267,0.38585758,27.306135,9.036849,-0.26382595,0.53692824,0.9986145,8.32931e-05,0.15104167,0.11219093,3.316739710657046e-08,1.3782833425120287e-08
36,3.237374,0.3897292,27.129879,9.076148,-0.26765627,0.5550209,0.99861103,8.563438e-05,0.140625,0.096675046,3.502346257455713e-08,1.5847588827888727e-08
37,3.2298188,0.3935135,26.959827,9.115477,-0.26113862,0.5166899,0.9986066,8.883379e-05,0.15234375,0.11728969,3.935036402280545e-08,1.7195491543235532e-08
38,3.2227092,0.39709854,26.801422,9.152766,-0.24903587,0.5504813,0.99860406,9.263646e-05,0.16145833,0.1460316,3.2329013965881614e-08,1.3161528770441959e-08
39,3.2156956,0.4007559,26.647259,9.190401,-0.2713107,0.5190846,0.9986011,9.6243246e-05,0.17317708,0.15132876,3.7393058649470845e-08,1.684343108760111e-08
40,3.2087657,0.40451616,26.496723,9.225779,-0.25750694,0.5267844,0.99859756,9.823388e-05,0.15625,0.11102427,3.8065708474199766e-08,1.8345534247468297e-08
