model,topk_frac,deletion_top_mean,deletion_random_mean,insertion_top_mean,insertion_random_mean,deletion_top_std,deletion_random_std,insertion_top_std,insertion_random_std
baseline,0.1,0.34144508466124535,0.24677387376626334,0.07232101898019512,0.09813888898376415,0.04961207129018781,0.030570296085915046,0.035855318497109545,0.03877248000261153
baseline,0.2,0.4255441265801589,0.3385809895892938,0.13064403428385654,0.15238685647879416,0.07394357435157403,0.015056772974122164,0.025691998305702082,0.033093056899876044
baseline,0.3,0.5168766329685847,0.40377505868673325,0.18703071027994156,0.2138421640265733,0.049358000847760715,0.011896574981565466,0.03287016767146757,0.03667973686883881
svda,0.1,0.31045615300536156,0.2016778060545524,0.04938414491213431,0.03664112089639578,0.03156617314447628,0.010090231090783294,0.030336810432870197,0.015957149155854857
svda,0.2,0.49119657029708225,0.3426569451888402,0.15476825356017798,0.09204333776142448,0.03802638019600052,0.028427630218403846,0.06697641484878022,0.02759284023034999
svda,0.3,0.5834532727797827,0.44489898160099983,0.22269041122247776,0.15931086707860231,0.03705238242597507,0.021787585026535054,0.05508692315926875,0.04488970348597665
