model,topk_frac,deletion_top_mean,deletion_random_mean,insertion_top_mean,insertion_random_mean,deletion_top_std,deletion_random_std,insertion_top_std,insertion_random_std
baseline,0.1,0.15135474751393,0.06577666165928046,0.06014703338344892,0.05487823113799095,0.03895470439223361,0.012817426853197204,0.015438718563255635,0.009884234200181054
baseline,0.2,0.242745170990626,0.11605750272671382,0.11719694112737973,0.11796862011154492,0.031208588877019217,0.008666356862880852,0.02280767371080851,0.022582904715076374
baseline,0.3,0.377444048722585,0.16229347636302313,0.21238917609055838,0.23144721239805222,0.03172679885894703,0.01864062086203819,0.034601314223929334,0.01901169993101097
svda,0.1,0.17266931384801865,0.0633873175829649,0.014832393576701483,0.016339443313578766,0.04426071201975059,0.02503293995275775,0.007459338720980424,0.005356392890292824
svda,0.2,0.318317969640096,0.14495121811827025,0.0324278874322772,0.03795320043961207,0.03770271131223867,0.030830621026198476,0.008634004704944962,0.008570281930841809
svda,0.3,0.4432981461286545,0.23975076278050741,0.08943274803459644,0.08831444879372914,0.01272012285474772,0.029163018478475227,0.017076713119407737,0.030569405361592496
