,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
0,4.1142855,0.014399128,61.2144,0.87882435,-0.32172498,0.31186563,0.9845047,3.167293e-05,0.0,0.0,5.179628885798593e-07,1.4275252189691863e-07
1,4.099246,0.021234527,60.307503,1.272699,-0.13807374,0.34334955,0.9844855,5.156175e-05,0.0,0.0,5.362045243373359e-07,1.1210780405241236e-07
2,4.078876,0.031260137,59.106003,1.8381648,0.022520142,0.18309735,0.9844417,7.948512e-05,0.0,0.0,6.393129154957933e-07,1.666262321021028e-07
3,4.0547714,0.046572097,57.73038,2.6710024,0.1294083,0.2330937,0.98441947,9.968986e-05,0.0,0.0,8.839320670972484e-07,3.312351072115793e-07
4,4.025722,0.06425644,56.128593,3.573646,0.10362725,0.22815637,0.9844077,0.00011083835,0.0,0.0,1.1185193429241735e-06,7.623475827754922e-07
5,3.9924273,0.08349309,54.361996,4.4794807,0.16604397,0.22177595,0.98436666,0.00013848508,0.0009765625,0.00390625,1.0698043553247771e-06,3.99041009436911e-07
6,3.956479,0.10265539,52.528957,5.3079114,0.1034623,0.2648683,0.98435384,0.00014114889,0.001953125,0.0053369533,1.1744699008886528e-06,5.058631126650976e-07
7,3.9181824,0.120613314,50.649044,6.006642,0.25123116,0.22869337,0.9843232,0.00016156308,0.005859375,0.012597278,1.437769640233455e-06,1.0087802264454119e-06
8,3.8779237,0.13657615,48.74337,6.5548387,0.18492861,0.3199512,0.98431826,0.00015248888,0.0048828125,0.009407496,1.8868400815108544e-06,9.45670503904607e-07
9,3.837816,0.14932996,46.907597,6.927355,0.36501566,0.31066495,0.98430705,0.00015260022,0.0078125,0.009882118,1.5240014334949592e-06,8.558939470329632e-07
10,3.7971277,0.1600048,45.108986,7.189182,0.22446555,0.31607565,0.9842788,0.00016806711,0.0146484375,0.018460218,1.6231469714966806e-06,8.47319790914268e-07
11,3.7569606,0.1698153,43.401432,7.396147,0.26814774,0.30399463,0.98423994,0.00019243026,0.01953125,0.015625,1.7905552169850125e-06,7.905482707683226e-07
12,3.718622,0.17840564,41.830307,7.5362034,0.3436895,0.30906826,0.98421675,0.00020853675,0.025390625,0.019661028,1.4938882628712236e-06,9.31327525833887e-07
13,3.6826098,0.18644518,40.40879,7.645626,0.43462506,0.32447633,0.98421574,0.00021207485,0.032226562,0.034924,2.7170541159193817e-06,1.8834048764353e-06
14,3.647895,0.19365637,39.082047,7.700869,0.3153816,0.36248818,0.9841937,0.00023268448,0.041992188,0.03504032,1.9988944615079163e-06,1.291304188914491e-06
15,3.6151414,0.20120588,37.87653,7.7582493,0.22439593,0.41043618,0.9841803,0.00023286951,0.03515625,0.0339941,1.7909165421770012e-06,8.728698651069308e-07
16,3.584825,0.2072143,36.78792,7.753841,0.3178596,0.37920222,0.9841698,0.00024601817,0.041015625,0.024787508,2.0880997908534482e-06,1.2135025314332854e-06
17,3.556772,0.2130755,35.811306,7.7495403,0.40760356,0.3010122,0.98414713,0.00024484572,0.048828125,0.043404512,1.6499479471576706e-06,9.156411281774388e-07
18,3.5307522,0.21836513,34.92804,7.727156,0.3414891,0.37401387,0.98414624,0.00024357597,0.044921875,0.030658463,1.8264205010609658e-06,1.0583110482104059e-06
19,3.5066507,0.2226703,34.125614,7.679654,0.30080897,0.39595857,0.98412013,0.0002600475,0.055664062,0.035616204,1.997735751047003e-06,1.0966401648187279e-06
20,3.4845307,0.22657673,33.405712,7.6358395,0.2885187,0.390036,0.9841086,0.00026565744,0.045898438,0.027639767,2.3945988942841723e-06,1.5738918474190141e-06
21,3.463742,0.23013787,32.74247,7.588174,0.34441328,0.3645096,0.98409957,0.00027761233,0.044921875,0.02412195,2.3349170561459687e-06,1.4687150510380687e-06
22,3.4439983,0.23327899,32.123768,7.539477,0.28658807,0.39443094,0.984105,0.00027159989,0.045898438,0.040931836,1.7032620291956846e-06,9.227297735572783e-07
23,3.425378,0.23584369,31.548714,7.48345,0.44013017,0.3507334,0.984102,0.0002750851,0.0625,0.044924706,1.804027860430324e-06,1.1193565082068796e-06
24,3.4069374,0.23864178,30.991617,7.4408927,0.25815648,0.39233875,0.98410296,0.00027189232,0.059570312,0.04201111,1.996955830918523e-06,1.064131301566262e-06
25,3.3896112,0.24098702,30.475973,7.399308,0.29900008,0.393871,0.98409134,0.00028365542,0.061523438,0.06077536,2.168884492448342e-06,1.2206750400144833e-06
26,3.373329,0.24322727,30.000252,7.369537,0.37294894,0.35505748,0.98405856,0.0002866663,0.06933594,0.041524008,2.2158606611810683e-06,1.4949568097595234e-06
27,3.3577776,0.24545507,29.553963,7.348024,0.30384564,0.3731646,0.9840768,0.00029058545,0.0625,0.060649693,1.7950056161453176e-06,8.76998752076224e-07
28,3.343599,0.24721842,29.151142,7.319095,0.36906368,0.3512386,0.98407686,0.00029311818,0.072265625,0.038643587,2.7211017510353486e-06,1.7118874823827636e-06
29,3.329647,0.24845204,28.757029,7.276897,0.31559676,0.37847376,0.98409635,0.00024854092,0.06933594,0.059830695,1.771547587736677e-06,9.73654329184575e-07
30,3.316017,0.24910122,28.37394,7.2242537,0.43343174,0.3324796,0.984093,0.00026572632,0.057617188,0.04022995,2.6008313795955473e-06,1.7457228527285785e-06
