model,topk_frac,deletion_top_mean,deletion_random_mean,insertion_top_mean,insertion_random_mean,deletion_top_std,deletion_random_std,insertion_top_std,insertion_random_std
baseline,0.1,0.15652203808228174,0.055796937085688114,0.21239988257487616,0.17891074468692145,0.06213386380952026,0.009205943009337586,0.0595204969203525,0.03494998983115121
baseline,0.2,0.3315076678991318,0.1325741025308768,0.3081215371688207,0.24898815155029297,0.08000553330319218,0.041750463797075664,0.03779746446205592,0.030476807100827754
baseline,0.3,0.48933249215284985,0.2206847369670868,0.387840857108434,0.3585062523682912,0.12808687324133292,0.041895823100179065,0.04315534145617834,0.02248407638317594
svda,0.1,0.11858986938993137,0.08796808744470279,0.11798229813575745,0.1333989892154932,0.01591470175658831,0.009874427070554725,0.022971666288579762,0.023795040210790593
svda,0.2,0.3361758490403493,0.1944879119594892,0.15801342328389487,0.16581541548172632,0.0207076919646226,0.030832049511994232,0.019773305090005952,0.04421870308117207
svda,0.3,0.488646278778712,0.30566419661045074,0.31135771175225574,0.1819280485312144,0.021400055455291913,0.0694484054796654,0.05038817001335475,0.054817147582174895
