model,topk_frac,deletion_top_mean,deletion_random_mean,insertion_top_mean,insertion_random_mean,deletion_top_std,deletion_random_std,insertion_top_std,insertion_random_std
baseline,0.1,0.06731531241287787,0.0319824256002903,0.2338026762008667,0.2210635170340538,0.0391514564868786,0.009700693191548435,0.014692167074604506,0.038136080248935486
baseline,0.2,0.16654319564501444,0.06505105706552665,0.3922043095032374,0.3484244594971339,0.0373160036246568,0.011157943064364878,0.04959856609886777,0.03186796356244787
baseline,0.3,0.2818542594710986,0.11489445591966312,0.49785912533601123,0.49962790807088214,0.02865448298668561,0.005662924285152019,0.02737648135325481,0.026662250123513632
svda,0.1,0.10739539936184883,0.027480345064153273,0.15459488580624262,0.12531535079081854,0.010102816781362258,0.013530516428515105,0.035460450277304136,0.032669220123646724
svda,0.2,0.19766951352357864,0.06448680224517982,0.2362748458981514,0.19879533847173056,0.03237316324197562,0.006152899925542818,0.013589190712973537,0.03145665024362139
svda,0.3,0.2863653600215912,0.13021880015730858,0.377387394507726,0.3250790288050969,0.024175110732734584,0.023901665026359462,0.03197697072458637,0.030335415152088884
