,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
30,3.6198697,0.21396114,38.121304,7.880102,0.33905542,0.4072023,0.9842512,0.00016462934,0.055664062,0.03696174,2.1257293525422938e-06,1.0014756965633644e-06
31,3.6072624,0.2180371,37.67483,7.9478855,0.39965323,0.38717583,0.9842533,0.00015668632,0.046875,0.040745016,1.837669941551212e-06,7.158041093204403e-07
32,3.5950403,0.22213247,37.24837,8.0129,0.3118751,0.4220748,0.9842284,0.00016294392,0.0625,0.03784563,1.8435914057590708e-06,4.061659098468488e-07
33,3.5830219,0.22577849,36.83153,8.062061,0.33393583,0.40669832,0.9842334,0.0001699126,0.051757812,0.025969954,1.9034445983834303e-06,5.466659519683616e-07
34,3.5713842,0.22933301,36.432384,8.101071,0.3901591,0.33308008,0.98420715,0.00019296091,0.05859375,0.055463247,1.7900235462775527e-06,5.913866177252979e-07
35,3.5601025,0.23303698,36.05166,8.143119,0.33738366,0.37182984,0.98420274,0.00019404649,0.053710938,0.037399497,1.7891844663608936e-06,5.608459056115356e-07
36,3.5492272,0.23665102,35.688904,8.180714,0.34252003,0.35751987,0.98417866,0.00020848343,0.057617188,0.034098677,1.8356121671558867e-06,7.796180298861406e-07
37,3.5385404,0.2402629,35.33643,8.213234,0.38112628,0.31705147,0.9841957,0.00018729358,0.055664062,0.049400292,1.911064941850782e-06,5.337911732963125e-07
38,3.528363,0.24343482,35.00164,8.226104,0.3394594,0.35974973,0.9841804,0.00021966691,0.06347656,0.050540294,2.0046877011736797e-06,6.031699205091291e-07
39,3.518227,0.24671097,34.672134,8.236885,0.3666488,0.3806064,0.984181,0.00021156768,0.049804688,0.04677724,2.1120722237810696e-06,5.610632457800776e-07
40,3.5086603,0.24995567,34.365223,8.24956,0.37199095,0.33740738,0.9841914,0.00020405238,0.038085938,0.0322591,2.1222163582024223e-06,8.156084274400059e-07
41,3.4988139,0.2534952,34.05372,8.265016,0.3593189,0.40856352,0.98415536,0.00022955035,0.057617188,0.05189092,1.7602787920623086e-06,6.752444755921104e-07
42,3.488612,0.25699764,33.73273,8.2724695,0.3490962,0.36944124,0.98413265,0.00023071314,0.052734375,0.043027896,2.1160620349292003e-06,8.784734753594258e-07
43,3.4785798,0.26077628,33.422318,8.282225,0.3635662,0.34252882,0.9841581,0.00024096176,0.059570312,0.047123905,2.0759122492108872e-06,5.878113395126331e-07
44,3.4690235,0.2648561,33.1332,8.305304,0.32850093,0.38940722,0.984146,0.00024615327,0.037109375,0.030122904,2.0797319422172222e-06,8.209663753436314e-07
45,3.459769,0.2689612,32.856876,8.328085,0.3761202,0.3189835,0.9841361,0.00024902547,0.05078125,0.04474319,2.069063654630554e-06,7.378194007837632e-07
46,3.4505374,0.27302802,32.58406,8.352589,0.33644107,0.39995557,0.98411906,0.00028527834,0.051757812,0.025969954,1.8830418042625752e-06,6.089844703308172e-07
47,3.4415457,0.2767174,32.31859,8.364596,0.30935955,0.3342043,0.9841542,0.00024308615,0.041015625,0.029577648,1.9548084537746035e-06,5.699388275328668e-07
48,3.4327834,0.28047568,32.06407,8.385841,0.34182084,0.3358742,0.9841236,0.00026464002,0.056640625,0.04187772,2.239421462491009e-06,8.433041460885418e-07
49,3.424605,0.28411803,31.829988,8.412766,0.36347115,0.3488381,0.98411906,0.00028942636,0.056640625,0.02728789,2.0637338167261987e-06,7.052519747732268e-07
50,3.4166365,0.28793174,31.605814,8.4436035,0.3300876,0.34150302,0.98410237,0.00027479485,0.0546875,0.037413094,2.195520238501558e-06,7.121178588795516e-07
51,3.4090805,0.29095608,31.390299,8.454447,0.33187315,0.36433208,0.98411226,0.0002675304,0.041015625,0.032713145,2.4342839139990247e-06,9.182050810794362e-07
52,3.4016404,0.29430556,31.183207,8.4811735,0.33186364,0.32607648,0.98411006,0.0002687972,0.057617188,0.046602942,2.1044173195150506e-06,9.052306440662339e-07
53,3.3939662,0.29725167,30.967636,8.496913,0.32874557,0.348934,0.9840881,0.00028470517,0.061523438,0.048233356,2.1871475723855838e-06,7.567997396836488e-07
54,3.3872302,0.29964492,30.778257,8.504583,0.346057,0.34645936,0.98409706,0.00029092727,0.047851562,0.03044203,2.293319653290382e-06,7.792312961955201e-07
55,3.3805785,0.30184117,30.59132,8.507744,0.35129735,0.32779896,0.9840776,0.0002943639,0.040039062,0.026126165,2.128712836224622e-06,7.832022153395717e-07
56,3.3741417,0.3041954,30.413591,8.518535,0.3133944,0.34228542,0.9840652,0.00027986552,0.040039062,0.025495576,2.1488855992402023e-06,7.77296793092628e-07
57,3.3679886,0.30614838,30.24245,8.520528,0.3314769,0.33297178,0.9840805,0.00030222003,0.05078125,0.039733816,2.4493122623425734e-06,7.433417876278881e-07
58,3.3619256,0.30755424,30.070833,8.508549,0.31421337,0.38764375,0.98403907,0.00030186874,0.047851562,0.03629521,2.147128810747745e-06,8.044717160336162e-07
59,3.3559854,0.30921808,29.905804,8.502649,0.362821,0.33394274,0.9840299,0.00032399237,0.043945312,0.026893616,2.2933089951493457e-06,7.929982302520786e-07
60,3.3503482,0.3105556,29.748066,8.489363,0.3439027,0.33806533,0.9840489,0.00030185247,0.06542969,0.048820313,2.448956848866146e-06,8.566326302883052e-07
61,3.3449,0.3117603,29.59599,8.476481,0.38925263,0.34811276,0.98402196,0.00033999525,0.055664062,0.042683713,2.9800361289744615e-06,1.4730208307983574e-06
62,3.3393338,0.31324646,29.443485,8.470474,0.32854724,0.33009297,0.9840358,0.0003301283,0.044921875,0.043777894,2.1099119038581193e-06,7.645751775680625e-07
63,3.3339171,0.314439,29.293829,8.457079,0.30710018,0.3769293,0.98403084,0.0003354588,0.061523438,0.034454808,2.255163849440578e-06,7.104797457435891e-07
64,3.3286853,0.3154191,29.148842,8.44122,0.32096735,0.33122364,0.9840454,0.00032419298,0.049804688,0.023675011,2.7690549018188904e-06,1.256813259556274e-06
65,3.3234866,0.3160549,29.0031,8.41854,0.35119566,0.35627374,0.9840019,0.00034295282,0.041015625,0.029577648,2.3111645646167744e-06,9.457160001450981e-07
66,3.3186293,0.3168127,28.86909,8.4038315,0.33691475,0.37902123,0.9840351,0.0003413883,0.038085938,0.028509382,1.983954604156679e-06,6.900131011617306e-07
67,3.313693,0.3174626,28.732643,8.386098,0.34486106,0.32131365,0.9840327,0.0003437277,0.049804688,0.03836619,2.4028141893950306e-06,8.872653072948733e-07
68,3.308766,0.31787324,28.595415,8.363073,0.35331544,0.3203326,0.98399496,0.0003556759,0.0390625,0.02795085,2.531276606987376e-06,8.887954351354426e-07
69,3.3039155,0.31829938,28.461216,8.340983,0.33527976,0.33403763,0.9839957,0.00037296818,0.061523438,0.040931836,2.2501509988615e-06,8.614620732352074e-07
70,3.299315,0.31878072,28.33554,8.327124,0.3634148,0.33543214,0.9840172,0.00034043053,0.0625,0.047735162,2.553570396912619e-06,1.0078918473822313e-06
71,3.2942975,0.31904954,28.197083,8.304387,0.33360818,0.33924165,0.9839847,0.0003623195,0.052734375,0.031184828,2.3847578063396213e-06,8.987139512572459e-07
72,3.2892468,0.3197509,28.062115,8.296202,0.35451117,0.35013482,0.98400164,0.0003601295,0.044921875,0.03369353,2.255370674220103e-06,8.612110313288631e-07
73,3.284273,0.3203055,27.92878,8.284393,0.34367177,0.34227207,0.9840203,0.00035837488,0.044921875,0.034646183,2.371332556094785e-06,8.452425019379587e-07
74,3.279284,0.32097495,27.796293,8.272724,0.3257323,0.33422294,0.9840013,0.0003309295,0.0625,0.044924706,2.310039434405553e-06,8.919034353478327e-07
75,3.2743099,0.32162136,27.664768,8.261019,0.3335455,0.35027367,0.98398525,0.00037246334,0.044921875,0.03947697,2.427593017273466e-06,9.598333875343e-07
76,3.269366,0.3221375,27.533749,8.247009,0.3939274,0.3119007,0.9839854,0.0003833351,0.0390625,0.036532663,2.388536955777454e-06,9.299659400902522e-07
77,3.2650511,0.32285956,27.422256,8.244313,0.3372407,0.3338572,0.9839897,0.00038098148,0.055664062,0.034217797,2.6852799805965333e-06,1.2164453211013065e-06
78,3.2607331,0.32333654,27.308819,8.230106,0.34825727,0.34527197,0.98397887,0.00035760482,0.034179688,0.034336507,2.544075940136281e-06,1.0309128488083133e-06
79,3.256129,0.32400605,27.189692,8.220847,0.34021693,0.35183686,0.98397386,0.0003744104,0.044921875,0.037791833,2.4219890519816545e-06,8.069680035904686e-07
80,3.2523038,0.32423595,27.088358,8.201066,0.35787407,0.31189734,0.98397446,0.0003865643,0.047851562,0.036740907,2.4880084055212137e-06,1.0146107605318203e-06
81,3.2483158,0.3242803,26.981266,8.171949,0.4014326,0.34200522,0.9839548,0.0003878185,0.048828125,0.035573337,2.6061086373374565e-06,9.877996415938901e-07
82,3.2444704,0.3244464,26.87969,8.15093,0.33715928,0.35323822,0.9839764,0.0003758514,0.055664062,0.04527432,2.2567438264786688e-06,9.16825056225181e-07
83,3.2406948,0.32478252,26.78159,8.134492,0.3482431,0.32218447,0.983931,0.00040017802,0.051757812,0.032132715,2.536634113425862e-06,1.0011358739703025e-06
84,3.2370205,0.32472387,26.683393,8.10676,0.3636685,0.33108842,0.9839216,0.00039219254,0.052734375,0.03988713,2.817139446165129e-06,1.2347880399237288e-06
85,3.2334158,0.32474366,26.588146,8.082754,0.3559967,0.31619573,0.98393875,0.00038495925,0.064453125,0.037358675,2.940429254749688e-06,1.0831690943243378e-06
86,3.229801,0.32512155,26.495636,8.067823,0.3434037,0.34234282,0.9839212,0.00039127364,0.045898438,0.04721017,2.7692340154317208e-06,1.1056177432983487e-06
87,3.2264237,0.3253021,26.40806,8.047557,0.39009824,0.39077318,0.983907,0.00041550474,0.057617188,0.03003836,2.4853232503119216e-06,1.0046390881346048e-06
88,3.2233853,0.32543615,26.329317,8.028985,0.33332106,0.33848795,0.98390484,0.00041010644,0.0390625,0.024206147,2.638235855556559e-06,8.853489591123882e-07
89,3.2199316,0.3254927,26.239063,8.002157,0.33994237,0.36166373,0.983918,0.00041775254,0.049804688,0.031363726,2.6100736789658185e-06,1.069793711704061e-06
90,3.216676,0.3254693,26.15379,7.9757214,0.36793312,0.32762957,0.98394966,0.0003969583,0.05859375,0.029919596,2.442991956286278e-06,9.868764560608525e-07
91,3.2131627,0.32565564,26.063627,7.952349,0.39579043,0.3346851,0.9839092,0.00042127207,0.060546875,0.040293116,2.4763303372310475e-06,9.164665056405605e-07
92,3.2099838,0.32575384,25.981695,7.9284925,0.32898495,0.35732886,0.98393446,0.00041755472,0.06347656,0.05887087,2.3265770039415656e-06,9.705442764169225e-07
93,3.2069025,0.32595563,25.90324,7.9072723,0.35638696,0.30007038,0.98392916,0.0004419028,0.046875,0.03125,2.510793223109431e-06,8.356096519074056e-07
94,3.203782,0.32602888,25.823223,7.883728,0.38681254,0.33992556,0.98391205,0.00042364086,0.0546875,0.0561921,2.731940583089454e-06,1.0628464630697713e-06
95,3.2006135,0.32608396,25.741978,7.8588114,0.3594444,0.33271125,0.98391825,0.0004019032,0.047851562,0.036740907,2.43992960236028e-06,9.343702499818222e-07
96,3.1978693,0.32626233,25.672659,7.839783,0.35381278,0.33497417,0.9838983,0.00041233387,0.0625,0.05103104,2.4772241147275054e-06,9.170604258229544e-07
97,3.1946313,0.32646665,25.5911,7.8172073,0.35687608,0.32846627,0.9838941,0.0004259807,0.055664062,0.036518738,2.657341738654395e-06,1.0587531278395677e-06
98,3.1914825,0.32643867,25.510565,7.791853,0.33946723,0.3507788,0.98388994,0.0004302233,0.05859375,0.049575016,2.8261308955279674e-06,1.0225507755376163e-06
99,3.1885822,0.32642463,25.436255,7.7643113,0.3309586,0.33594966,0.9838963,0.00040942934,0.046875,0.045643546,2.7275868887954857e-06,1.0868645103508569e-06
